CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
AEB SOLUTIONS LTD,7113486,,,11 NORTON AVENUE,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 1HE,Private Limited Company,Active,United Kingdom,,29/12/2009,31,1,31/10/2024,31/01/2023,MICRO ENTITY,16/01/2017,19/12/2015,0,0,0,0,"46730 - Wholesale of wood, construction materials and sanitary equipment","47990 - Other retail sale not in stores, stalls or markets",,,0,0,http://business.data.gov.uk/id/company/07113486,,,,,,,,,,,,,,,,,,,,,20/12/2023,06/12/2022
AG AUTO SERVICES (MORECAMBE) LTD,14683410,,,238 WESTMINSTER ROAD,,MORECAMBE,,ENGLAND,LA3 1EP,Private Limited Company,Active,United Kingdom,,22/02/2023,28,2,22/11/2024,,NO ACCOUNTS FILED,21/03/2024,,0,0,0,0,45190 - Sale of other motor vehicles,45200 - Maintenance and repair of motor vehicles,,,0,0,http://business.data.gov.uk/id/company/14683410,,,,,,,,,,,,,,,,,,,,,06/03/2024,
AGHAWEENAGH LTD,13843137,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,12/01/2022,5,4,05/01/2025,05/04/2023,MICRO ENTITY,09/02/2023,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13843137,,,,,,,,,,,,,,,,,,,,,25/01/2024,11/01/2023
AH MILNER LTD,13852466,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,17/01/2022,5,4,05/01/2025,05/04/2023,MICRO ENTITY,14/02/2023,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13852466,,,,,,,,,,,,,,,,,,,,,30/01/2024,16/01/2023
AI BROWNE LTD,13854499,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,18/01/2022,5,4,05/01/2025,05/04/2023,MICRO ENTITY,15/02/2023,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13854499,,,,,,,,,,,,,,,,,,,,,31/01/2024,17/01/2023
AIRBRIT LTD,14372410,,,4 MELDON GRANGE,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2HH,Private Limited Company,Active,United Kingdom,,23/09/2022,30,9,23/06/2024,,NO ACCOUNTS FILED,21/10/2023,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/14372410,,,,,,,,,,,,,,,,,,,,,06/10/2023,
AIRLOCATE LTD,14791229,,,5 ASHBOURNE GROVE,,MORECAMBE,,ENGLAND,LA3 3NH,Private Limited Company,Active,United Kingdom,,11/04/2023,30,4,11/01/2025,,NO ACCOUNTS FILED,09/05/2024,,0,0,0,0,47190 - Other retail sale in non-specialised stores,,,,0,0,http://business.data.gov.uk/id/company/14791229,,,,,,,,,,,,,,,,,,,,,24/04/2024,
AJJ RAIL LTD,14296858,,,1 FIELDFARE CLOSE,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2LF,Private Limited Company,Active,United Kingdom,,15/08/2022,31,8,15/05/2024,,NO ACCOUNTS FILED,12/09/2023,,0,0,0,0,42990 - Construction of other civil engineering projects n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14296858,,,,,,,,,,,,,,,,,,,,,28/08/2024,14/08/2023
AJP PROPERTY DEVELOPMENTS LTD,11190389,,,UNIT 7 SOUTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,UNITED KINGDOM,LA3 3PB,Private Limited Company,Active,United Kingdom,,06/02/2018,28,2,30/11/2023,28/02/2022,MICRO ENTITY,06/03/2019,,3,3,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/11190389,,,,,,,,,,,,,,,,,,,,,14/02/2024,31/01/2023
AK-RATES LIMITED,9930322,,,UNIT 5 WOODGATE PARK,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3PS,Private Limited Company,Active,United Kingdom,,29/12/2015,31,12,30/09/2024,31/12/2022,MICRO ENTITY,26/01/2017,,0,0,0,0,42220 - Construction of utility projects for electricity and telecommunications,61900 - Other telecommunications activities,,,0,0,http://business.data.gov.uk/id/company/09930322,30/01/2017,AKILLEN.RATES LIMITED,,,,,,,,,,,,,,,,,,,20/10/2023,06/10/2022
AKS PROPERTIES ENTERPRISE LTD,14622906,,,11 LITTLEDALE AVENUE,,HEYSHAM,MORECAMBE,ENGLAND,LA3 2ER,Private Limited Company,Active,United Kingdom,,27/01/2023,31,1,27/10/2024,,NO ACCOUNTS FILED,24/02/2024,,1,1,0,0,68100 - Buying and selling of own real estate,,,,0,0,http://business.data.gov.uk/id/company/14622906,,,,,,,,,,,,,,,,,,,,,09/02/2024,
ALAN DICK ENGINEERING LIMITED,1091003,,,MIDDLETON ROAD,HEYSHAM,MORECAMBE,LANCS,ENGLAND,LA3 2SE,Private Limited Company,Active,United Kingdom,,16/01/1973,31,3,31/12/2023,31/03/2022,TOTAL EXEMPTION FULL,31/07/2016,03/07/2015,7,1,0,6,25110 - Manufacture of metal structures and parts of structures,25620 - Machining,25990 - Manufacture of other fabricated metal products n.e.c.,,0,0,http://business.data.gov.uk/id/company/01091003,,,,,,,,,,,,,,,,,,,,,26/07/2024,12/07/2023
